pdf_id,title,committee_name,conf_date,url
418회-1차-법안심사제2소위원회-2024-11-20,제22대국회 제418회 1차 법안심사제2소위원회,법안심사제2소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054399&fileId=0000123022&deviceGubun=P&imsiYn=P
418회-3차-국토법안심사소위원회-2024-11-20,제22대국회 제418회 3차 국토법안심사소위원회,국토법안심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054390&fileId=0000122973&deviceGubun=P&imsiYn=P
418회-3차-예산안등조정소위원회-2024-11-20,제22대국회 제418회 3차 예산안등조정소위원회,예산안등조정소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054420&fileId=0000123093&deviceGubun=P&imsiYn=P
418회-9차-산업통상자원중소벤처기업위원회-2024-11-20,제22대국회 제418회 9차 산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054470&fileId=0000123227&deviceGubun=P&imsiYn=P
418회-1차-해양수산법안심사소위원회-2024-11-20,제22대국회 제418회 1차 해양수산법안심사소위원회,해양수산법안심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054428&fileId=0000123109&deviceGubun=P&imsiYn=P
418회-12차-법제사법위원회-2024-10-18,제22대국회 제418회 12차 법제사법위원회,법제사법위원회,2024-10-18,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054203&fileId=0000122225&deviceGubun=P&imsiYn=P
418회-6차-농림축산식품해양수산위원회-2024-10-18,제22대국회 제418회 6차 농림축산식품해양수산위원회,농림축산식품해양수산위원회,2024-10-18,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054216&fileId=0000122295&deviceGubun=P&imsiYn=P
418회-7차-문화체육관광위원회-2024-10-18,제22대국회 제418회 7차 문화체육관광위원회,문화체육관광위원회,2024-10-18,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054209&fileId=0000122281&deviceGubun=P&imsiYn=P
416회-4차-정무위원회-2024-07-25,제22대국회 제416회 4차 정무위원회,정무위원회,2024-07-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053940&fileId=0000120338&deviceGubun=P&imsiYn=P
421회-1차-국회운영위원회-2025-01-17,제22대국회 제421회 1차 국회운영위원회,국회운영위원회,2025-01-17,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054700&fileId=0000124191&deviceGubun=P&imsiYn=P
421회-1차-법제사법위원회-2025-01-17,제22대국회 제421회 1차 법제사법위원회,법제사법위원회,2025-01-17,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054699&fileId=0000124189&deviceGubun=P&imsiYn=P
